NF;Data Faturamento
140412;19/01/2026
140636;20/01/2026
145670;09/02/2026
149550;03/03/2026
157698;07/04/2026
157699;07/04/2026
162545;28/04/2026
162546;28/04/2026
173384;12/06/2026
173383;12/06/2026
181212;14/07/2026
181242;14/07/2026
185249;30/07/2026
189202;17/08/2026
189203;17/08/2026
145584;09/02/2026
146936;16/02/2026
151708;11/03/2026
157759;07/04/2026
157758;07/04/2026
157757;07/04/2026
162542;28/04/2026
169155;27/05/2026
169154;27/05/2026
174453;17/06/2026
174479;17/06/2026
181208;14/07/2026
181213;14/07/2026
185239;30/07/2026
185238;30/07/2026
139518;14/01/2026
141627;23/01/2026
145617;09/02/2026
146562;12/02/2026
150814;06/03/2026
156160;30/03/2026
163039;29/04/2026
163038;29/04/2026
169850;29/05/2026
174393;16/06/2026
174392;16/06/2026
175534;19/06/2026
180652;10/07/2026
185294;30/07/2026
185293;30/07/2026
139997;15/01/2026
141660;23/01/2026
146080;11/02/2026
146079;11/02/2026
150827;06/03/2026
158984;10/04/2026
158983;10/04/2026
158982;10/04/2026
164161;06/05/2026
164160;06/05/2026
167912;21/05/2026
167913;21/05/2026
174437;17/06/2026
174438;17/06/2026
176029;22/06/2026
180823;11/07/2026
185201;30/07/2026
185200;30/07/2026
185199;30/07/2026
189225;17/08/2026
189227;17/08/2026
146513;12/02/2026
162843;29/04/2026
175422;19/06/2026
139960;15/01/2026
145580;09/02/2026
146637;12/02/2026
149409;02/03/2026
157756;07/04/2026
157755;07/04/2026
162540;28/04/2026
162541;28/04/2026
174465;17/06/2026
174467;17/06/2026
180814;11/07/2026
180813;11/07/2026
185498;31/07/2026
145582;09/02/2026
146636;12/02/2026
155993;30/03/2026
162550;28/04/2026
162549;28/04/2026
174131;16/06/2026
174130;16/06/2026
185496;31/07/2026
143044;30/01/2026
146048;11/02/2026
155527;26/03/2026
155529;26/03/2026
155528;26/03/2026
162526;28/04/2026
168600;25/05/2026
173261;12/06/2026
173260;12/06/2026
173744;15/06/2026
184701;29/07/2026
146054;11/02/2026
155542;26/03/2026
162520;28/04/2026
162521;28/04/2026
168588;25/05/2026
173251;12/06/2026
173250;12/06/2026
184697;29/07/2026
140578;20/01/2026
146011;11/02/2026
146035;11/02/2026
148959;26/02/2026
155520;26/03/2026
155521;26/03/2026
155518;26/03/2026
162533;28/04/2026
168607;25/05/2026
168606;25/05/2026
173288;12/06/2026
173286;12/06/2026
174110;16/06/2026
179967;07/07/2026
180317;09/07/2026
184715;29/07/2026
184724;29/07/2026
139340;13/01/2026
146012;11/02/2026
146032;11/02/2026
148954;26/02/2026
155513;26/03/2026
155514;26/03/2026
155512;26/03/2026
162530;28/04/2026
168605;25/05/2026
168604;25/05/2026
173280;12/06/2026
173279;12/06/2026
174111;16/06/2026
179964;07/07/2026
180315;09/07/2026
180316;09/07/2026
184713;29/07/2026
184721;29/07/2026
141027;21/01/2026
146014;11/02/2026
146034;11/02/2026
148952;26/02/2026
155508;26/03/2026
155505;26/03/2026
162529;28/04/2026
168602;25/05/2026
168601;25/05/2026
173267;12/06/2026
173265;12/06/2026
179962;07/07/2026
180320;09/07/2026
184709;29/07/2026
184719;29/07/2026
139616;14/01/2026
146050;11/02/2026
155544;26/03/2026
155543;26/03/2026
162522;28/04/2026
168589;25/05/2026
173252;12/06/2026
173253;12/06/2026
179949;07/07/2026
180319;09/07/2026
184698;29/07/2026
140409;19/01/2026
141912;26/01/2026
145674;09/02/2026
146937;16/02/2026
149949;04/03/2026
157613;07/04/2026
157615;07/04/2026
157614;07/04/2026
163049;29/04/2026
168615;25/05/2026
168614;25/05/2026
174461;17/06/2026
174459;17/06/2026
175313;18/06/2026
175311;18/06/2026
185246;30/07/2026
189206;17/08/2026
189207;17/08/2026
146049;11/02/2026
155559;26/03/2026
155558;26/03/2026
162525;28/04/2026
168597;25/05/2026
168595;25/05/2026
173259;12/06/2026
173258;12/06/2026
179960;07/07/2026
184700;29/07/2026
146053;11/02/2026
155531;26/03/2026
155530;26/03/2026
168580;25/05/2026
168579;25/05/2026
179943;07/07/2026
179942;07/07/2026
180318;09/07/2026
184695;29/07/2026
146051;11/02/2026
155532;26/03/2026
162516;28/04/2026
162517;28/04/2026
173249;12/06/2026
184696;29/07/2026
139720;14/01/2026
142965;29/01/2026
146016;11/02/2026
150471;05/03/2026
155464;26/03/2026
155525;26/03/2026
155524;26/03/2026
162535;28/04/2026
162534;28/04/2026
168612;25/05/2026
173290;12/06/2026
173289;12/06/2026
174061;15/06/2026
174060;15/06/2026
179976;07/07/2026
184718;29/07/2026
184725;29/07/2026
139959;15/01/2026
145581;09/02/2026
146635;12/02/2026
149408;02/03/2026
155991;30/03/2026
155992;30/03/2026
162539;28/04/2026
162538;28/04/2026
170037;30/05/2026
174462;17/06/2026
174463;17/06/2026
174481;17/06/2026
185497;31/07/2026
145671;09/02/2026
146938;16/02/2026
158218;08/04/2026
158216;08/04/2026
162548;28/04/2026
173413;13/06/2026
173412;13/06/2026
180822;11/07/2026
180821;11/07/2026
185216;30/07/2026
140577;20/01/2026
146015;11/02/2026
155522;26/03/2026
155519;26/03/2026
162532;28/04/2026
162531;28/04/2026
168608;25/05/2026
173287;12/06/2026
179968;07/07/2026
184717;29/07/2026
141025;21/01/2026
146013;11/02/2026
146033;11/02/2026
155507;26/03/2026
155506;26/03/2026
162528;28/04/2026
173266;12/06/2026
173264;12/06/2026
179963;07/07/2026
184711;29/07/2026
184720;29/07/2026
138287;05/01/2026
139619;14/01/2026
142723;29/01/2026
146052;11/02/2026
148964;26/02/2026
155555;26/03/2026
155554;26/03/2026
155552;26/03/2026
155553;26/03/2026
