Numero;Serie;Emissao;Transportadora;Unidade;Origem;Estado Origem;Destino;Estado Destino;Frete Calculado;Valor Realizado;Diferenca Frete
146898;1;12/08/2026;MAJO - COTIA;Filial;São Paulo;SP;São José dos Campos;SP;349.99;350.02;0.03
146899;1;12/08/2026;MAJO - COTIA;Filial;São Paulo;SP;Bofete;SP;441.27;441.3;0.03
146901;1;12/08/2026;MAJO - COTIA;Filial;São Paulo;SP;Jaú;SP;155.72;360.27;204.55
146902;1;12/08/2026;MAJO - COTIA;Filial;São Paulo;SP;Jaú;SP;152.01;356.58;204.57
146904;1;12/08/2026;MAJO - COTIA;Filial;São Paulo;SP;Cananéia;SP;146.32;146.33;0.01
146906;1;12/08/2026;MAJO - COTIA;Filial;São Paulo;SP;Cesário Lange;SP;421.56;421.56;
146907;1;12/08/2026;MAJO - COTIA;Filial;São Paulo;SP;Araçoiaba da Serra;SP;173.34;173.35;0.01
146929;1;12/08/2026;MAJO - COTIA;Filial;São Paulo;SP;Limeira;SP;352.4;352.41;0.01
146930;1;12/08/2026;MAJO - COTIA;Filial;São Paulo;SP;Cajati;SP;147;147.03;0.03
146932;1;12/08/2026;MAJO - COTIA;Filial;São Paulo;SP;Ilha Comprida;SP;153.33;153.35;0.02
146933;1;12/08/2026;MAJO - COTIA;Filial;São Paulo;SP;Rio Claro;SP;142.92;142.93;0.01
146934;1;12/08/2026;MAJO - COTIA;Filial;São Paulo;SP;Pederneiras;SP;154.23;358.78;204.55
146935;1;12/08/2026;MAJO - COTIA;Filial;São Paulo;SP;Registro;SP;197.65;197.66;0.01
146908;1;12/08/2026;MAJO - COTIA;Filial;São Paulo;SP;Limeira;SP;146.48;146.5;0.02
146909;1;12/08/2026;MAJO - COTIA;Filial;São Paulo;SP;Santa Gertrudes;SP;145.15;145.17;0.02
146894;1;12/08/2026;MAJO - COTIA;Filial;São Paulo;SP;Itapeva;SP;251.63;449.13;197.5
146920;1;12/08/2026;MAJO - COTIA;Filial;São Paulo;SP;Ilha Comprida;SP;147.77;147.78;0.01
146910;1;12/08/2026;MAJO - COTIA;Filial;São Paulo;SP;Ribeirão Preto;SP;357.13;357.16;0.03
