NF;Status;Motivo
138320;Reentrega;INVENTARIO
138321;Reentrega;INVENTARIO
138319;Reentrega;INVENTARIO
138242;Reentrega;FORA DE HORÁRIO
138264;Reentrega;FORA DE HORÁRIO
138264;Reentrega;FORA DE HORÁRIO
138264;Reentrega;FORA DE HORÁRIO
138158;Reentrega;FORA DE HORÁRIO
138241;Reentrega;FORA DE HORÁRIO
138291;Reentrega;DIVERGENCIA DE PREÇO
138393;Reentrega;ENTREGA FORA DE HORÁRIO
138393;Devolução;PEDIDO EM DUPLICIDADE
142064;Reentrega;ENTREGA FORA DE HORÁRIO
142064;Devolução;PEDIDO EM DUPLICIDADE
138392;Reentrega;ENTREGA FORA DE HORÁRIO
138392;Devolução;PEDIDO EM DUPLICIDADE
138356;Reentrega;FORA DE HORÁRIO
138355;Reentrega;FORA DE HORÁRIO
138354;Reentrega;FORA DE HORÁRIO
138352;Reentrega;FORA DE HORÁRIO
138353;Reentrega;FORA DE HORÁRIO
138243;Cancelado;CLIENTE COM PROBLEMA SISTEMICO
138289;Devolução;ERRO DE SISTEMA LOJA
138350;Reentrega;FORA DE HORÁRIO
138351;Reentrega;FORA DE HORÁRIO
138287;Reentrega;DIVERGENCIA DE PREÇO
138376;Devolução;CLIENTE SÓ RECEBE EM CAIXAS E FOI EM FARDOS.
138402;Reentrega;INVENTARIO
138400;Reentrega;INVENTARIO
138398;Reentrega;INVENTARIO
138507;Reentrega;FORA DE HORÁRIO
138512;Reentrega;FORA DE HORÁRIO
38358;Reentrega;FORA DE HORÁRIO
138520;Reentrega;FORA DE HORÁRIO
138523;Reentrega;MOTORISTA NÃO CARREGOU A MERCADORIA
138523;Reentrega;MOTORISTA NÃO CARREGOU A MERCADORIA
138523;Reentrega;FORA DE HORÁRIO
138499;Devolução;CLIENTE RECUSOU MOTIVO PROBLEMA DE TRIBUTACAO
138663;Reentrega;SEM TRIBUTAÇÃO FISCAL NA NOTA
138664;Reentrega;SEM TRIBUTAÇÃO FISCAL NA NOTA
138662;Reentrega;SEM TRIBUTAÇÃO FISCAL NA NOTA
138661;Reentrega;SEM TRIBUTAÇÃO FISCAL NA NOTA
138672;Reentrega;DIVERGÊNCIA DE IMPOSTO
138649;Reentrega;FORA DE HORÁRIO
138650;Reentrega;FORA DE HORÁRIO
138651;Reentrega;FORA DE HORÁRIO
138659;Reentrega;SEM TRIBUTAÇÃO FISCAL NA NOTA
138660;Reentrega;SEM TRIBUTAÇÃO FISCAL NA NOTA
138612;Cancelado;SEM TRIBUTAÇÃO FISCAL NA NOTA
138872;Devolução;Item sem cadastro no cliente
138735;Devolução;AGENDAMENTO SUSPENSO
138809;Reentrega;CLIENTE SÓ RECEBE COM BONIFICAÇÃO
138809;Reentrega;FORA DE HORÁRIO
138810;Reentrega;CLIENTE SÓ RECEBE COM BONIFICAÇÃO
138810;Reentrega;FORA DE HORÁRIO
138980;Cancelado;PEDIDO EXPIRADO
138983;Reentrega;FORA DE HORÁRIO
138983;Reentrega;FORA DE HORÁRIO
138984;Reentrega;FORA DE HORÁRIO
138984;Reentrega;FORA DE HORÁRIO
138963;Reentrega;ESTABELECIMENTO FECHADO
139027;Reentrega;FORA DE HORÁRIO
139025;Reentrega;FORA DE HORÁRIO
138995;Devolução;DESACORDO COMO O PEDIDO
138996;Devolução;DESACORDO COM O PEDIDO
140410;Devolução;DESACORDO COM O PEDIDO
138977;Reentrega;CLIENTE EM INVENTARIO
138976;Reentrega;CLIENTE EM INVENTARIO
138975;Reentrega;CLIENTE EM INVENTARIO
139031;Devolução;QUALIDADE RECUSADA - ESTUFADA
139032;Devolução;QUALIDADE RECUSADA - ESTUFADA
140983;Devolução;QUALIDADE RECUSADA - ESTUFADA
138968;Reentrega;FALTA DE MERCADORIA
138966;Reentrega;FALTA DE MERCADORIA
138964;Reentrega;FALTA DE MERCADORIA
138959;Reentrega;FALTA DE MERCADORIA
38411;Reentrega;FORA DE HORÁRIO
38410;Reentrega;FORA DE HORÁRIO
38445;Reentrega;FORA DE HORÁRIO
38447;Reentrega;FORA DE HORÁRIO
139167;Devolução;SEM PEDIDO
139062;Reentrega;PALET FORA DE PADRÃO DO CLIENTE
139061;Reentrega;PALET FORA DE PADRÃO DO CLIENTE
139147;Reentrega;FORA DE HORÁRIO
139138;Reentrega;FORA DE HORÁRIO
139139;Reentrega;FORA DE HORÁRIO
139137;Reentrega;FORA DE HORÁRIO
139136;Reentrega;FORA DE HORÁRIO
38448;Devolução;NOTA INCOMPLETA
139109;Cancelado;PEDIDO EXPIRADO
38415;Devolução;CLIENTE ENCERROU OPERAÇÃO
139442;Reentrega;FORA DE HORÁRIO
139441;Reentrega;FORA DE HORÁRIO
139444;Reentrega;FORA DE HORÁRIO
139443;Reentrega;FORA DE HORÁRIO
38459;Reentrega;FORA DE HORÁRIO
38458;Reentrega;FORA DE HORÁRIO
38453;Reentrega;FALTA DE MERCADORIA
38453;Devolução;NOTA INCOMPLETA
38452;Reentrega;FALTA DE MERCADORIA
38452;Reentrega;CLIENTE SOLICITOU PARA REENTREGAR
139255;Devolução;DIVERGENCIA DE PEDIDO
139418;Devolução;DIVERGENCIA DE PREÇO
139299;Reentrega;SEM AGENDAMENTO
38477;Devolução;PEDIDO EXPIRADO
139306;Reentrega;FORA DE HORÁRIO
38479;Devolução;PEDIDO EXPIRADO
38476;Devolução;PEDIDO EXPIRADO
139300;Cancelado;PEDIDO EXPIRADO
139585;Devolução;PEDIDO EXPIRADO
139588;Devolução;PEDIDO EXPIRADO
139586;Devolução;PEDIDO EXPIRADO
139571;Devolução;PEDIDO EXPIRADO
139574;Devolução;PEDIDO EXPIRADO
139630;Reentrega;LOJA EM BALANÇO
139630;Reentrega;FORA DE HORÁRIO
139629;Reentrega;LOJA EM BALANÇO
139629;Reentrega;FORA DE HORÁRIO
139506;Reentrega;MOTORISTA NÃO CARREGOU, ACIMA DO PESO.
139506;Reentrega;TROCAR TAPIOCA DE 500G PARA FARDO
139505;Reentrega;MOTORISTA NÃO CARREGOU, ACIMA DO PESO.
139505;Reentrega;TROCAR TAPIOCA DE 500G PARA FARDO
139658;Devolução;CNPJ INCORRETO
139747;Reentrega;FORA DE HORÁRIO
139748;Reentrega;FORA DE HORÁRIO
139744;Reentrega;FORA DE HORÁRIO
139611;Reentrega;CLIENTE ALEGANDO QUE O CLIENTE "MERCADO" NÃO FOI AGENDADO
139613;Reentrega;CLIENTE ALEGANDO QUE O CLIENTE "MERCADO" NÃO FOI AGENDADO
139612;Reentrega;CLIENTE ALEGANDO QUE O CLIENTE "MERCADO" NÃO FOI AGENDADO
139614;Reentrega;FORA DE HORÁRIO
139615;Reentrega;FORA DE HORÁRIO
139709;Reentrega;FORA DE HORÁRIO
139715;Reentrega;FORA DE HORÁRIO
139695;Reentrega;FORA DE HORÁRIO
139696;Reentrega;FORA DE HORÁRIO
139523;Reentrega;MERCADORIAS ESTUFADAS
139724;Reentrega;PALET FORA DE PADRÃO DO CLIENTE
139724;Reentrega;PALET FORA DE PADRÃO DO CLIENTE
139581;Devolução;PEDIDO EXPIRADO
139582;Devolução;PEDIDO EXPIRADO
139584;Devolução;PEDIDO EXPIRADO
38508;Devolução;PEDIDO EXPIRADO
139839;Reentrega;FORA DE HORÁRIO
139838;Reentrega;FORA DE HORÁRIO
139848;Reentrega;FORA DE HORÁRIO
139849;Reentrega;FORA DE HORÁRIO
139993;Reentrega;FORA DE HORÁRIO
139995;Reentrega;FORA DE HORÁRIO
139888;Reentrega;CLIENTE EM INVENTÁRIO - RETORNA 26/01
139885;Devolução;"POLVILHO DOCE 1KG" DIGITADO INCORRETAMENTE
139852;Reentrega;FORA DE HORÁRIO
139853;Reentrega;FORA DE HORÁRIO
139771;Reentrega;FORA DE HORÁRIO
139774;Reentrega;FORA DE HORÁRIO
139779;Reentrega;FORA DE HORÁRIO
139776;Reentrega;FORA DE HORÁRIO
139775;Reentrega;FORA DE HORÁRIO
140086;Reentrega;FORA DE HORÁRIO
140085;Reentrega;FORA DE HORÁRIO
140135;Reentrega;FORA DE HORÁRIO
140134;Reentrega;FORA DE HORÁRIO
140136;Reentrega;FORA DE HORÁRIO
140202;Devolução;Tributacao do cha saiu incorreta
140196;Reentrega;DESACORDO COM O PEDIDO (VENDEDORA SOLICITOU REENTREGA)
140196;Reentrega;FORA DE HORÁRIO
140196;Devolução;PEDIDO RECUSADO PELO CLIENTE
140185;Reentrega;FORA DE HORÁRIO
140188;Reentrega;FORA DE HORÁRIO
140256;Reentrega;FORA DE HORÁRIO
140240;Cancelado;DIVERGENCIA DE PEDIDO
140375;Reentrega;FORA DE HORÁRIO
38546;Reentrega;CLIENTE EM INVENTARIO
38546;Cancelado;Cliente solicitou o cancelamento
38551;Reentrega;NÃO FOI CARREGADO
38552;Reentrega;NÃO FOI CARREGADO
38553;Reentrega;NÃO FOI CARREGADO
38554;Reentrega;NÃO FOI CARREGADO
140355;Reentrega;FORA DE HORÁRIO
140357;Reentrega;FORA DE HORÁRIO
140392;Devolução;PRODUTO RETORNO
140349;Reentrega;FORA DE HORÁRIO
140349;Devolução;CLIENTE DEVOLVEU ALEGANDO QUE O BOLETO ESTAVA VENCIDO E NÃO ACEITOU A PRORROGAÇÃO
140381;Reentrega;Sem pedido, mais foi resolvido.
140381;Devolução;DIVERGENCIA DE PEDIDO
140549;Reentrega;FORA DE HORÁRIO
140562;Reentrega;CLIENTE EM INVENTARIO
38565;Reentrega;LOJA EM BALANÇO
140788;Reentrega;LOJA EM BALANÇO
140789;Reentrega;LOJA EM BALANÇO
140790;Reentrega;LOJA EM BALANÇO
38566;Reentrega;LOJA EM BALANÇO
140791;Reentrega;LOJA EM BALANÇO
140805;Devolução;PEDIDO EXPIRADO
140806;Devolução;PEDIDO EXPIRADO
140584;Devolução;PEDIDO EM DUPLICIDADE
140676;Reentrega;FORA DE HORÁRIO
140678;Reentrega;FORA DE HORÁRIO
140680;Reentrega;FORA DE HORÁRIO
140822;Reentrega;FORA DE HORÁRIO
140656;Reentrega;SEM AGENDAMENTO
140657;Reentrega;SEM AGENDAMENTO
140722;Reentrega;SEM AGENDAMENTO
140723;Reentrega;SEM AGENDAMENTO
140636;Reentrega;FORA DE HORÁRIO
140823;Reentrega;FORA DE HORÁRIO
140827;Reentrega;FORA DE HORÁRIO
140847;Reentrega;FORA DE HORÁRIO
140848;Reentrega;FORA DE HORÁRIO
141113;Devolução;PEDIDO CANCELADO
141039;Reentrega;FORA DE HORÁRIO
141054;Reentrega;SEM PEDIDO
141054;Devolução;SEM PEDIDO
141110;Devolução;SEM PEDIDO
143592;Devolução;SEM PEDIDO
38627;Cancelado;NÃO FOI CARREGADO
38610;Reentrega;LOJA SEM SISTEMA
38611;Reentrega;LOJA SEM SISTEMA
141295;Devolução;SEM PEDIDO
38629;Cancelado;NÃO FOI CARREGADO
38621;Reentrega;LOJA EM INVENTÁRIO
38622;Reentrega;LOJA EM INVENTÁRIO
141364;Reentrega;FORA DE HORÁRIO
141363;Reentrega;FORA DE HORÁRIO
141219;Reentrega;FORA DE HORÁRIO
141204;Reentrega;FORA DE HORÁRIO
141203;Reentrega;FORA DE HORÁRIO
141203;Reentrega;FALTA DE MERCADORIA
141168;Devolução;PEDIDO EM DUPLICIDADE
141240;Devolução;NATUREZA DA OPERAÇÃO INCORRETA
38628;Cancelado;NÃO FOI CARREGADO
38628;Devolução;INVERSÃO DE PRODUTOS
141331;Reentrega;FORA DE HORÁRIO
38626;Reentrega;CARGA NÃO FOI CARREGADA NO DIA 23/01, CONFIRMAÇÃO COM FOTO DA LOGBER.
38626;Cancelado;PEDIDO EXPIRADO
141244;Reentrega;FORA DE HORÁRIO
141313;Devolução;PEDIDO DIGITADO ERRADO PELA VENDEDORA
141327;Reentrega;FORA DE HORÁRIO
38652;Reentrega;FORA DE HORÁRIO
38649;Reentrega;FORA DE HORÁRIO
38650;Reentrega;FORA DE HORÁRIO
38653;Reentrega;FORA DE HORÁRIO
38653;Reentrega;FORA DE HORÁRIO
141463;Reentrega;LOJA SEM SISTEMA
141464;Reentrega;LOJA SEM SISTEMA
141465;Reentrega;LOJA SEM SISTEMA
38672;Cancelado;PEDIDO EXPIRADO
38665;Cancelado;PEDIDO EXPIRADO
