Cidade;UF;Regiao;Codigo
Bertioga;SP;Baixada Santista;RC03
Cubatão;SP;Baixada Santista;RC03
Guarujá;SP;Baixada Santista;RC03
Itanhaém;SP;Baixada Santista;RC03
Mongaguá;SP;Baixada Santista;RC03
Peruíbe;SP;Baixada Santista;RC03
Praia Grande;SP;Baixada Santista;RC03
Santos;SP;Baixada Santista;RC03
São Vicente;SP;Baixada Santista;RC03
São Paulo;SP;Capital SP;RC01
Anápolis;GO;Centro-Oeste;RC10
Aparecida de Goiânia;GO;Centro-Oeste;RC10
Brasília;DF;Centro-Oeste;RC10
Campo Grande;MS;Centro-Oeste;RC10
Dourados;MS;Centro-Oeste;RC10
Goiânia;GO;Centro-Oeste;RC10
Itumbiara;GO;Centro-Oeste;RC10
Lucas do Rio Verde;MT;Centro-Oeste;RC10
Sidrolândia;MS;Centro-Oeste;RC10
Sinop;MT;Centro-Oeste;RC10
Sorriso;MT;Centro-Oeste;RC10
Várzea Grande;MT;Centro-Oeste;RC10
Cachoeiro de Itapemirim;ES;Espírito Santo;RC07
Cariacica;ES;Espírito Santo;RC07
Guarapari;ES;Espírito Santo;RC07
Linhares;ES;Espírito Santo;RC07
Piúma;ES;Espírito Santo;RC07
Serra;ES;Espírito Santo;RC07
Vila Velha;ES;Espírito Santo;RC07
Vitória;ES;Espírito Santo;RC07
Exterior;EX;Exterior / Não mapeado;RC13
Arujá;SP;Grande São Paulo;RC02
Barueri;SP;Grande São Paulo;RC02
Caieiras;SP;Grande São Paulo;RC02
Cajamar;SP;Grande São Paulo;RC02
Carapicuíba;SP;Grande São Paulo;RC02
Cotia;SP;Grande São Paulo;RC02
Diadema;SP;Grande São Paulo;RC02
Embu das Artes;SP;Grande São Paulo;RC02
Embu-Guaçu;SP;Grande São Paulo;RC02
Ferraz de Vasconcelos;SP;Grande São Paulo;RC02
Francisco Morato;SP;Grande São Paulo;RC02
Franco da Rocha;SP;Grande São Paulo;RC02
Guararema;SP;Grande São Paulo;RC02
Guarulhos;SP;Grande São Paulo;RC02
Itapecerica da Serra;SP;Grande São Paulo;RC02
Itapevi;SP;Grande São Paulo;RC02
Itaquaquecetuba;SP;Grande São Paulo;RC02
Jandira;SP;Grande São Paulo;RC02
Juquitiba;SP;Grande São Paulo;RC02
Mairiporã;SP;Grande São Paulo;RC02
Mauá;SP;Grande São Paulo;RC02
Mogi das Cruzes;SP;Grande São Paulo;RC02
Osasco;SP;Grande São Paulo;RC02
Poá;SP;Grande São Paulo;RC02
Ribeirão Pires;SP;Grande São Paulo;RC02
Rio Grande da Serra;SP;Grande São Paulo;RC02
Salesópolis;SP;Grande São Paulo;RC02
Santa Isabel;SP;Grande São Paulo;RC02
Santana de Parnaíba;SP;Grande São Paulo;RC02
Santo André;SP;Grande São Paulo;RC02
Suzano;SP;Grande São Paulo;RC02
São Bernardo do Campo;SP;Grande São Paulo;RC02
São Caetano do Sul;SP;Grande São Paulo;RC02
São Lourenço da Serra;SP;Grande São Paulo;RC02
Taboão da Serra;SP;Grande São Paulo;RC02
Vargem Grande Paulista;SP;Grande São Paulo;RC02
Aguaí;SP;Interior de São Paulo;RC04
Agudos;SP;Interior de São Paulo;RC04
Alumínio;SP;Interior de São Paulo;RC04
Americana;SP;Interior de São Paulo;RC04
Amparo;SP;Interior de São Paulo;RC04
Américo Brasiliense;SP;Interior de São Paulo;RC04
Analândia;SP;Interior de São Paulo;RC04
Angatuba;SP;Interior de São Paulo;RC04
Aparecida;SP;Interior de São Paulo;RC04
Araraquara;SP;Interior de São Paulo;RC04
Araras;SP;Interior de São Paulo;RC04
Araçatuba;SP;Interior de São Paulo;RC04
Araçoiaba da Serra;SP;Interior de São Paulo;RC04
Assis;SP;Interior de São Paulo;RC04
Atibaia;SP;Interior de São Paulo;RC04
Barretos;SP;Interior de São Paulo;RC04
Bauru;SP;Interior de São Paulo;RC04
Birigui;SP;Interior de São Paulo;RC04
Biritiba-Mirim;SP;Interior de São Paulo;RC04
Boa Esperança do Sul;SP;Interior de São Paulo;RC04
Bocaina;SP;Interior de São Paulo;RC04
Bofete;SP;Interior de São Paulo;RC04
Botucatu;SP;Interior de São Paulo;RC04
Bragança Paulista;SP;Interior de São Paulo;RC04
Brotas;SP;Interior de São Paulo;RC04
Buri;SP;Interior de São Paulo;RC04
Cabreúva;SP;Interior de São Paulo;RC04
Cachoeira Paulista;SP;Interior de São Paulo;RC04
Caconde;SP;Interior de São Paulo;RC04
Cajati;SP;Interior de São Paulo;RC04
Campinas;SP;Interior de São Paulo;RC04
Campo Limpo Paulista;SP;Interior de São Paulo;RC04
Campos do Jordão;SP;Interior de São Paulo;RC04
Cananéia;SP;Interior de São Paulo;RC04
Capela do Alto;SP;Interior de São Paulo;RC04
Capivari;SP;Interior de São Paulo;RC04
Capão Bonito;SP;Interior de São Paulo;RC04
Caraguatatuba;SP;Interior de São Paulo;RC04
Catanduva;SP;Interior de São Paulo;RC04
Caçapava;SP;Interior de São Paulo;RC04
Cesário Lange;SP;Interior de São Paulo;RC04
Cordeirópolis;SP;Interior de São Paulo;RC04
Cosmópolis;SP;Interior de São Paulo;RC04
Cruzeiro;SP;Interior de São Paulo;RC04
Cunha;SP;Interior de São Paulo;RC04
Cândido Mota;SP;Interior de São Paulo;RC04
Descalvado;SP;Interior de São Paulo;RC04
Divinolândia;SP;Interior de São Paulo;RC04
Franca;SP;Interior de São Paulo;RC04
Guaratinguetá;SP;Interior de São Paulo;RC04
Guareí;SP;Interior de São Paulo;RC04
Holambra;SP;Interior de São Paulo;RC04
Hortolândia;SP;Interior de São Paulo;RC04
Ibaté;SP;Interior de São Paulo;RC04
Ibitinga;SP;Interior de São Paulo;RC04
